exercise_id,exercise_name,description,type,difficulty,equipment
134,Lever Seated Leg Curl,"Machine exercise isolating the hamstrings. Sit with your back against the padded support and put the back of your lower legs on top of the far lever. Secure the lap pad on your thighs just above your knees and grab the handles. Pull the lever towards the back of your thighs by bending your knees, then return until your knees are straight.",Isolated,Easy,Machine
135,Lever Lying Leg Curl,"Lying variation of the leg curl. Lie face down on the bench with your knees just past the edge and your lower legs under the lever pads. Grab the handles. Raise the pads towards the back of your thighs by bending your knees, then lower until your knees are straight. Keep your torso down on the bench so your lower back does not arch.",Isolated,Medium,Machine
136,Dumbbell Standing Calf Raise,"Calf exercise using a dumbbell. Hold a dumbbell in one hand at your side. Put your toes and the balls of your feet on a calf block with your arches and heels hanging off, and hold a support for balance. Raise your heels by extending your ankles as high as you can, then lower until you feel a stretch in your calves. Keep your knees straight, or bend them very slightly only at the bottom.",Isolated,Easy,Dumbbell
137,Lever Calf Extension,"Machine calf exercise done seated. Sit down and put your forefeet on the lever platform. Grab the handles at your sides and straighten your knees. Push the lever by extending your ankles as far as you can, then return by bending them until your calves are stretched. Set the seat so you get the full range of motion, and reposition your feet if they slip.",Isolated,Easy,Machine
138,Lever Seated Calf Press,"Machine calf exercise done with your legs out in front. Sit with your lower back against the seat and put your toes and the balls of your feet on the lower part of the platform, with your heels and arches hanging off. Grab the handles and straighten your knees. Push the lever by extending your ankles as far as you can, then return until your calves are stretched. Set the seat back, but not so far that the weight stack bottoms out at the stretch.",Isolated,Easy,Machine
139,Smith Standing Leg Calf Raise,"Smith machine calf exercise. Set the bar at upper chest height and put a calf block under it. Get under the bar with it on the back of your shoulders and grab it at your sides. Put your toes and the balls of your feet on the block with your heels hanging off, then rotate the bar back to unrack it. Stand up straight, raise your heels as high as you can, then lower until your calves are stretched. Keep your knees straight throughout.",Isolated,Medium,Smith machine
140,Smith Reverse Calf Raise,"Smith machine exercise for the shins. Set the bar at upper chest height and put a calf block under it. Get under the bar with it on the back of your shoulders and grab it at your sides. Put your heels on the front edge of the block and rotate the bar back to unrack it. Stand up straight, then pull the front of both feet up towards you as far as you can. Return by extending your feet until your toes point down. Keep your knees and hips straight throughout.",Isolated,Easy,Smith machine
141,Reverse Calf Raise,"Bodyweight exercise for the shins. Put your heels on the front edge of a calf block or platform and hold a support for balance. Pull the front of both feet up towards you as far as you can, then return by extending your feet until your toes point down. Keep your knees and hips straight. Move your heels further onto the block to make it easier, or closer to the edge to make it harder.",Isolated,Easy,Body weight
142,Standing Calf Raise,"Bodyweight calf exercise. Put your toes and the balls of your feet on a calf block with your arches and heels hanging off, and hold a support for balance. Raise your heels by extending your ankles as high as you can, then lower until you feel a stretch in your calves. Keep your knees straight, or bend them very slightly only at the bottom. Hold a dumbbell in one hand to make it harder.",Isolated,Easy,Body weight
143,Barbell Hip Thrust,"Glute exercise using a barbell and a bench. Sit on the floor with the long side of a bench behind your back. Roll the barbell back over your hips and rest your upper back on the edge of the bench. Put your feet flat on the floor about shoulder width with your knees bent, and grab the bar at each side. Raise the bar by extending your hips until they are straight, then lower and repeat. Use a low bench so your torso sits at around 45 degrees, and pad the bar if it digs in. The movement should come from your hips with your torso staying rigid.",Isolated,Medium,Barbell
144,Barbell Preacher Curl,"Bicep exercise emphasising strict form. Sit on a preacher bench with the back of your arms on the pad. Grab the curl bar with a shoulder width underhand grip. Raise the bar until your forearms are vertical, then lower until your arms are fully extended. Set the seat so your armpit rests near the top of the pad, and keep the back of your upper arms on the pad throughout.",Isolated,Medium,Barbell
145,Dumbbell Preacher Curl,"Single arm variation of the preacher curl. Grab a dumbbell and sit on a preacher bench. With your arm bent and your palm facing your shoulder, rest the back of your arm on the pad. Lower the dumbbell until your arm is fully extended, then raise it until your forearm is vertical. Repeat, then switch arms. Set the seat so your armpit rests near the top of the pad.",Isolated,Easy,Dumbbell
